Applicant_ID,Skills,Education,Experience,Capabilities,Preferred_Job
PWD0074,"bookkeeping, Excel, organization, mathematics, customer service",BS Information Technology,6 months internship,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0075,"computer literacy, typing, communication, email, programming",BS Business Administration,6 months work experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0076,"programming, Python, Java, problem solving, baking",BS Office Administration,1 year work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0077,"customer service, English, communication, patience, Excel",BS Accounting Technology,1 year internship,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0078,"baking, food preparation, teamwork, cleanliness, writing",BA Communication,2 years work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0079,"writing, research, Word, proofreading, typing",BS Multimedia Arts,No formal experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0080,"Excel, inventory, typing, organization, graphic design",BS Education,6 months internship,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0081,"typing, data entry, Microsoft Office, communication, customer service",Senior High School,6 months work experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0082,"customer service, communication, computer skills, English, cooking",Senior High School,1 year work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0083,"graphic design, Canva, Photoshop, creativity, Excel",College level,1 year internship,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0084,"cooking, food preparation, cleanliness, teamwork, HTML",BS Information Technology,2 years work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0085,"HTML, CSS, JavaScript, web development, writing",BS Business Administration,No formal experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0086,"Excel, bookkeeping, accounting, organization, inventory",BS Office Administration,6 months internship,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0087,"writing, English, research, proofreading, social media",BS Accounting Technology,6 months work experience,"Writing articles, researching, proofreading",Content Writer
PWD0088,"social media, Canva, communication, creativity, teaching",BA Communication,1 year work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0089,"inventory, Excel, organization, record keeping, sales",BS Multimedia Arts,1 year internship,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0090,"teaching, communication, patience, English, typing",BS Education,2 years work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0091,"typing, Word, Excel, filing, organization, photography",Senior High School,No formal experience,"Document preparation, filing, data entry",Administrative Assistant
PWD0092,"sales, communication, customer service, persuasion, computer literacy",Senior High School,6 months internship,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0093,"photography, photo editing, Photoshop, creativity, bookkeeping",College level,6 months work experience,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0094,"bookkeeping, Excel, organization, mathematics, programming",BS Information Technology,1 year work experience,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0095,"computer literacy, typing, communication, email, baking",BS Business Administration,1 year internship,"Email handling, encoding documents, file organization",Office Assistant
PWD0096,"programming, Python, Java, problem solving, customer service",BS Office Administration,2 years work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0097,"customer service, English, communication, patience, writing",BS Accounting Technology,No formal experience,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0098,"baking, food preparation, teamwork, cleanliness, typing",BA Communication,6 months internship,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0099,"writing, research, Word, proofreading, Excel",BS Multimedia Arts,6 months work experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0100,"Excel, inventory, typing, organization, customer service",BS Education,1 year work experience,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0101,"typing, data entry, Microsoft Office, communication, cooking",Senior High School,1 year internship,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0102,"customer service, communication, computer skills, English, graphic design",Senior High School,2 years work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0103,"graphic design, Canva, Photoshop, creativity, HTML",College level,No formal experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0104,"cooking, food preparation, cleanliness, teamwork, writing",BS Information Technology,6 months internship,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0105,"HTML, CSS, JavaScript, web development, Excel",BS Business Administration,6 months work experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0106,"Excel, bookkeeping, accounting, organization, social media",BS Office Administration,1 year work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0107,"writing, English, research, proofreading, teaching",BS Accounting Technology,1 year internship,"Writing articles, researching, proofreading",Content Writer
PWD0108,"social media, Canva, communication, creativity, inventory",BA Communication,2 years work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0109,"inventory, Excel, organization, record keeping, typing",BS Multimedia Arts,No formal experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0110,"teaching, communication, patience, English, photography",BS Education,6 months internship,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0111,"typing, Word, Excel, filing, organization, sales",Senior High School,6 months work experience,"Document preparation, filing, data entry",Administrative Assistant
PWD0112,"sales, communication, customer service, persuasion, bookkeeping",Senior High School,1 year work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0113,"photography, photo editing, Photoshop, creativity, programming",College level,1 year internship,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0114,"bookkeeping, Excel, organization, mathematics, computer literacy",BS Information Technology,2 years work experience,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0115,"computer literacy, typing, communication, email, customer service",BS Business Administration,No formal experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0116,"programming, Python, Java, problem solving, writing",BS Office Administration,6 months internship,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0117,"customer service, English, communication, patience, baking",BS Accounting Technology,6 months work experience,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0118,"baking, food preparation, teamwork, cleanliness, Excel",BA Communication,1 year work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0119,"writing, research, Word, proofreading, customer service",BS Multimedia Arts,1 year internship,"Online research, organizing information, preparing reports",Research Assistant
PWD0120,"Excel, inventory, typing, organization, typing",BS Education,2 years work experience,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0121,"typing, data entry, Microsoft Office, communication, graphic design",Senior High School,No formal experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0122,"customer service, communication, computer skills, English, HTML",Senior High School,6 months internship,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0123,"graphic design, Canva, Photoshop, creativity, cooking",College level,6 months work experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0124,"cooking, food preparation, cleanliness, teamwork, Excel",BS Information Technology,1 year work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0125,"HTML, CSS, JavaScript, web development, social media",BS Business Administration,1 year internship,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0126,"Excel, bookkeeping, accounting, organization, writing",BS Office Administration,2 years work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0127,"writing, English, research, proofreading, inventory",BS Accounting Technology,No formal experience,"Writing articles, researching, proofreading",Content Writer
PWD0128,"social media, Canva, communication, creativity, typing",BA Communication,6 months internship,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0129,"inventory, Excel, organization, record keeping, teaching",BS Multimedia Arts,6 months work experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0130,"teaching, communication, patience, English, sales",BS Education,1 year work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0131,"typing, Word, Excel, filing, organization, bookkeeping",Senior High School,1 year internship,"Document preparation, filing, data entry",Administrative Assistant
PWD0132,"sales, communication, customer service, persuasion, photography",Senior High School,2 years work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0133,"photography, photo editing, Photoshop, creativity, computer literacy",College level,No formal experience,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0134,"bookkeeping, Excel, organization, mathematics, customer service",BS Information Technology,6 months internship,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0135,"computer literacy, typing, communication, email, programming",BS Business Administration,6 months work experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0136,"programming, Python, Java, problem solving, baking",BS Office Administration,1 year work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0137,"customer service, English, communication, patience, Excel",BS Accounting Technology,1 year internship,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0138,"baking, food preparation, teamwork, cleanliness, writing",BA Communication,2 years work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0139,"writing, research, Word, proofreading, typing",BS Multimedia Arts,No formal experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0140,"Excel, inventory, typing, organization, graphic design",BS Education,6 months internship,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0141,"typing, data entry, Microsoft Office, communication, customer service",Senior High School,6 months work experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0142,"customer service, communication, computer skills, English, cooking",Senior High School,1 year work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0143,"graphic design, Canva, Photoshop, creativity, Excel",College level,1 year internship,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0144,"cooking, food preparation, cleanliness, teamwork, HTML",BS Information Technology,2 years work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0145,"HTML, CSS, JavaScript, web development, writing",BS Business Administration,No formal experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0146,"Excel, bookkeeping, accounting, organization, inventory",BS Office Administration,6 months internship,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0147,"writing, English, research, proofreading, social media",BS Accounting Technology,6 months work experience,"Writing articles, researching, proofreading",Content Writer
PWD0148,"social media, Canva, communication, creativity, teaching",BA Communication,1 year work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0149,"inventory, Excel, organization, record keeping, sales",BS Multimedia Arts,1 year internship,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0150,"teaching, communication, patience, English, typing",BS Education,2 years work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0151,"typing, Word, Excel, filing, organization, photography",Senior High School,No formal experience,"Document preparation, filing, data entry",Administrative Assistant
PWD0152,"sales, communication, customer service, persuasion, computer literacy",Senior High School,6 months internship,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0153,"photography, photo editing, Photoshop, creativity, bookkeeping",College level,6 months work experience,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0154,"bookkeeping, Excel, organization, mathematics, programming",BS Information Technology,1 year work experience,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0155,"computer literacy, typing, communication, email, baking",BS Business Administration,1 year internship,"Email handling, encoding documents, file organization",Office Assistant
PWD0156,"programming, Python, Java, problem solving, customer service",BS Office Administration,2 years work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0157,"customer service, English, communication, patience, writing",BS Accounting Technology,No formal experience,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0158,"baking, food preparation, teamwork, cleanliness, typing",BA Communication,6 months internship,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0159,"writing, research, Word, proofreading, Excel",BS Multimedia Arts,6 months work experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0160,"Excel, inventory, typing, organization, customer service",BS Education,1 year work experience,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0161,"typing, data entry, Microsoft Office, communication, cooking",Senior High School,1 year internship,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0162,"customer service, communication, computer skills, English, graphic design",Senior High School,2 years work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0163,"graphic design, Canva, Photoshop, creativity, HTML",College level,No formal experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0164,"cooking, food preparation, cleanliness, teamwork, writing",BS Information Technology,6 months internship,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0165,"HTML, CSS, JavaScript, web development, Excel",BS Business Administration,6 months work experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0166,"Excel, bookkeeping, accounting, organization, social media",BS Office Administration,1 year work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0167,"writing, English, research, proofreading, teaching",BS Accounting Technology,1 year internship,"Writing articles, researching, proofreading",Content Writer
PWD0168,"social media, Canva, communication, creativity, inventory",BA Communication,2 years work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0169,"inventory, Excel, organization, record keeping, typing",BS Multimedia Arts,No formal experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0170,"teaching, communication, patience, English, photography",BS Education,6 months internship,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0171,"typing, Word, Excel, filing, organization, sales",Senior High School,6 months work experience,"Document preparation, filing, data entry",Administrative Assistant
PWD0172,"sales, communication, customer service, persuasion, bookkeeping",Senior High School,1 year work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0173,"photography, photo editing, Photoshop, creativity, programming",College level,1 year internship,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0174,"bookkeeping, Excel, organization, mathematics, computer literacy",BS Information Technology,2 years work experience,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0175,"computer literacy, typing, communication, email, customer service",BS Business Administration,No formal experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0176,"programming, Python, Java, problem solving, writing",BS Office Administration,6 months internship,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0177,"customer service, English, communication, patience, baking",BS Accounting Technology,6 months work experience,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0178,"baking, food preparation, teamwork, cleanliness, Excel",BA Communication,1 year work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0179,"writing, research, Word, proofreading, customer service",BS Multimedia Arts,1 year internship,"Online research, organizing information, preparing reports",Research Assistant
PWD0180,"Excel, inventory, typing, organization, typing",BS Education,2 years work experience,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0181,"typing, data entry, Microsoft Office, communication, graphic design",Senior High School,No formal experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0182,"customer service, communication, computer skills, English, HTML",Senior High School,6 months internship,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0183,"graphic design, Canva, Photoshop, creativity, cooking",College level,6 months work experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0184,"cooking, food preparation, cleanliness, teamwork, Excel",BS Information Technology,1 year work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0185,"HTML, CSS, JavaScript, web development, social media",BS Business Administration,1 year internship,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0186,"Excel, bookkeeping, accounting, organization, writing",BS Office Administration,2 years work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0187,"writing, English, research, proofreading, inventory",BS Accounting Technology,No formal experience,"Writing articles, researching, proofreading",Content Writer
PWD0188,"social media, Canva, communication, creativity, typing",BA Communication,6 months internship,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0189,"inventory, Excel, organization, record keeping, teaching",BS Multimedia Arts,6 months work experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0190,"teaching, communication, patience, English, sales",BS Education,1 year work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0191,"typing, Word, Excel, filing, organization, bookkeeping",Senior High School,1 year internship,"Document preparation, filing, data entry",Administrative Assistant
PWD0192,"sales, communication, customer service, persuasion, photography",Senior High School,2 years work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0193,"photography, photo editing, Photoshop, creativity, computer literacy",College level,No formal experience,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0194,"bookkeeping, Excel, organization, mathematics, customer service",BS Information Technology,6 months internship,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0195,"computer literacy, typing, communication, email, programming",BS Business Administration,6 months work experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0196,"programming, Python, Java, problem solving, baking",BS Office Administration,1 year work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0197,"customer service, English, communication, patience, Excel",BS Accounting Technology,1 year internship,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0198,"baking, food preparation, teamwork, cleanliness, writing",BA Communication,2 years work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0199,"writing, research, Word, proofreading, typing",BS Multimedia Arts,No formal experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0200,"Excel, inventory, typing, organization, graphic design",BS Education,6 months internship,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0201,"typing, data entry, Microsoft Office, communication, customer service",Senior High School,6 months work experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0202,"customer service, communication, computer skills, English, cooking",Senior High School,1 year work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0203,"graphic design, Canva, Photoshop, creativity, Excel",College level,1 year internship,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0204,"cooking, food preparation, cleanliness, teamwork, HTML",BS Information Technology,2 years work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0205,"HTML, CSS, JavaScript, web development, writing",BS Business Administration,No formal experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0206,"Excel, bookkeeping, accounting, organization, inventory",BS Office Administration,6 months internship,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0207,"writing, English, research, proofreading, social media",BS Accounting Technology,6 months work experience,"Writing articles, researching, proofreading",Content Writer
PWD0208,"social media, Canva, communication, creativity, teaching",BA Communication,1 year work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0209,"inventory, Excel, organization, record keeping, sales",BS Multimedia Arts,1 year internship,"Recording stocks, checking inventory, updating records",Inventory Assistant
